T,o,h,l,c,v
1767437999999,89751,89836,89673,89724,274.66903
1767441599999,89724,89747,89643,89720,99.14826
1767445199999,89721,90020,89630,90006,342.41738
1767448799999,90005,90025,89895,89980,366.64021
1767452399999,89980,90214,89929,90093,267.14519
1767455999999,90093,90097,89929,89934,616.90846
1767459599999,89933,90190,89881,90069,977.83587
1767463199999,90070,90100,89989,90060,275.26881
1767466799999,90060,90165,90000,90099,524.3729
1767470399999,90099,90112,90002,90079,280.80927
1767473999999,90079,90340,89983,90340,602.2323
1767477599999,90340,90711,90260,90527,1521.26264
1767481199999,90527,90711,90463,90546,607.14864
1767484799999,90546,90683,90421,90600,534.24962
1767488399999,90599,91555,90599,91308,2628.87023
1767491999999,91308,91446,90952,91182,1669.00231
1767495599999,91183,91260,91030,91091,335.12682
1767499199999,91090,91313,91040,91190,454.40443
1767502799999,91189,91560,91148,91370,510.02418
1767506399999,91370,91448,91308,91443,212.91372
1767509999999,91442,91834,91177,91180,770.83219
1767513599999,91181,91514,91166,91494,559.69345
1767517199999,91493,91526,91120,91331,691.67741
1767520799999,91331,91439,91209,91419,274.68565
1767524399999,91419,91577,91373,91559,386.11682
1767527999999,91559,91559,91187,91256,474.71643
1767531599999,91256,91312,91050,91101,535.58858
1767535199999,91102,91232,90975,91226,449.20082
1767538799999,91226,91373,91108,91301,471.58239
1767542399999,91301,91341,91053,91294,684.30249
1767545999999,91294,91411,91196,91283,446.54192
1767549599999,91283,91394,91268,91301,281.6432
1767553199999,91301,91301,90950,91176,948.18998
1767556799999,91176,91176,90839,91101,767.02835
1767560399999,91101,91306,91083,91270,356.90622
1767563999999,91271,91392,91138,91242,449.0016
1767567599999,91243,91372,91115,91184,383.57628
1767571199999,91184,91571,91184,91511,1237.57396
1767574799999,91510,92412,91479,92373,2722.65521
1767578399999,92374,93366,92261,92921,2931.88378
1767581999999,92922,93128,92701,93004,879.25771
1767585599999,93004,93176,92835,92844,692.66802
1767589199999,92843,92925,92312,92579,1212.18719
1767592799999,92580,92694,92307,92318,1513.78787
1767596399999,92319,92465,92109,92456,377.56961
1767599999999,92456,92600,92454,92497,229.11597
1767603599999,92498,92735,92425,92430,475.28111
1767607199999,92431,92817,92290,92660,1337.22935
1767610799999,92661,93146,92646,93054,1875.22221
1767614399999,93055,93131,92853,93114,2529.42933
1767617999999,93115,93193,92729,92851,501.16316
1767621599999,92852,92991,92508,92716,691.10728
1767625199999,92716,93623,92368,93398,3092.83208
1767628799999,93399,93983,93167,93929,3029.12737
1767632399999,93929,94000,93534,93655,2154.81768
1767635999999,93655,94443,93202,94257,4521.2659
1767639599999,94258,94472,93859,94404,3291.39414
1767643199999,94405,94463,94086,94263,1843.01171
1767646799999,94264,94753,93981,94128,1507.83145
1767650399999,94127,94192,93764,94045,1117.66749
1767653999999,94046,94366,93955,94125,920.27559
1767657599999,94126,94153,93812,93832,483.95449
1767661199999,93831,93945,93511,93778,897.34014
1767664799999,93778,94123,93704,93743,525.06269
1767668399999,93742,93830,93493,93590,594.37919
1767671999999,93591,93901,93568,93725,286.8169
1767675599999,93726,93978,93704,93776,426.13819
1767679199999,93776,93781,93528,93559,529.5102
1767682799999,93560,93906,93511,93747,472.40121
1767686399999,93746,93747,93133,93234,1603.5562
1767689999999,93234,93414,93164,93211,554.41744
1767693599999,93211,93547,93210,93443,799.10465
1767697199999,93444,93651,93388,93560,679.47623
1767700799999,93560,93890,93555,93825,543.20719
1767704399999,93826,93987,93769,93855,325.85808
1767707999999,93855,93863,93637,93709,649.50806
1767711599999,93710,94435,93512,93823,5830.01097
1767715199999,93823,94292,93327,93644,2845.63258
1767718799999,93643,93754,92321,92706,4172.63222
1767722399999,92706,92773,91537,91604,3712.04541
1767725999999,91605,92265,91316,92090,4259.42126
1767729599999,92090,92374,91950,92153,1031.02183
1767733199999,92151,92733,92150,92548,892.69026
1767736799999,92549,93897,92411,93285,4439.01425
1767740399999,93286,93567,93000,93409,1787.20864
1767743999999,93395,93837,93371,93801,898.20411
1767747599999,93801,93801,92696,92750,1474.48357
1767751199999,92751,92925,92356,92495,1141.50523
1767754799999,92492,93110,92285,93024,1140.51712
1767758399999,93025,93172,92798,92889,1113.04476
1767761999999,92889,93000,92669,92724,1054.51705
1767765599999,92723,92921,92561,92576,818.14459
1767769199999,92577,92958,92570,92656,436.78171
1767772799999,92656,92954,92655,92944,291.19559
1767776399999,92943,93024,92757,92768,338.64218
1767779999999,92768,92768,91621,91771,3176.85341
1767783599999,91770,92081,91645,92039,1084.86428
1767787199999,92040,92342,91991,92162,1572.45631
1767790799999,92159,92261,92049,92057,993.39551
1767794399999,92057,92351,91931,92106,816.97449
1767797999999,92106,92244,91422,92051,3203.66852
1767801599999,92051,92078,91133,91409,4109.31189
1767805199999,91408,91851,91204,91304,2388.03582
1767808799999,91306,91740,91096,91336,1781.34702
1767812399999,91336,91527,90677,90919,4279.23319
1767815999999,90919,91316,90677,91219,1977.10246
1767819599999,91219,91337,90804,91096,987.86185
1767823199999,91096,91272,91077,91086,671.87006
1767826799999,91114,91398,90884,91199,1399.79138
1767830399999,91199,91499,91024,91373,1260.20791
1767833999999,91373,91518,91071,91386,740.80407
1767837599999,91386,91676,91304,91437,520.89877
1767841199999,91438,91473,90774,90967,1134.95361
1767844799999,90966,91139,90591,90812,660.0719
1767848399999,90812,91160,90706,91033,274.76458
1767851999999,91033,91200,90790,90824,829.18233
1767855599999,90824,90867,89828,89848,3946.86743
1767859199999,89854,90559,89622,90515,2596.50261
1767862799999,90514,90721,90112,90199,847.4045
1767866399999,90199,90345,89915,89978,749.51319
1767869999999,89979,90474,89750,90386,1811.9365
1767873599999,90386,90460,90000,90198,938.78976
1767877199999,90198,90220,89772,89964,1042.90329
1767880799999,89964,90091,89862,89956,709.05274
1767884399999,89950,90176,89300,90031,5400.43931
1767887999999,90031,90859,89828,90795,3838.31256
1767891599999,90800,90956,90336,90956,2393.61676
1767895199999,90956,91450,90863,91380,2253.2313
1767898799999,91380,91490,90934,91104,2184.85558
1767902399999,91104,91330,90812,90928,1577.51185
1767905999999,90928,90977,90542,90924,1575.62376
1767909599999,90924,91319,90908,91254,1020.26017
1767913199999,91253,91466,91008,91210,1031.08801
1767916799999,91210,91310,91030,91079,518.3428
1767920399999,91079,91280,91041,91270,433.46581
1767923999999,91270,91627,90815,91039,1154.09203
1767927599999,91037,91461,90987,91023,672.56344
1767931199999,91023,91263,90934,91207,468.13816
1767934799999,91207,91220,90910,91010,407.55639
1767938399999,91010,91118,90902,91085,573.41205
1767941999999,91084,91148,90980,91137,743.9888
1767945599999,91137,91138,90710,90733,1850.90985
1767949199999,90734,90849,89645,90012,5408.01873
1767952799999,90009,90491,89995,90326,2390.57878
1767956399999,90327,90545,90267,90478,550.85487
1767959999999,90478,90683,90390,90434,278.90987
1767963599999,90434,90583,90204,90438,415.05787
1767967199999,90438,90915,90369,90585,969.1335
1767970799999,90585,90652,89929,90137,2137.09429
1767974399999,90137,92061,89834,91185,6094.2877
1767977999999,91185,91784,91156,91621,2864.56715
1767981599999,91622,91676,90999,91428,1633.55362
1767985199999,91427,91501,90275,90821,3273.80343
1767988799999,90821,90821,90143,90336,3035.76774
1767992399999,90334,90565,90221,90307,1859.90476
1767995999999,90308,90634,90131,90540,634.91111
1767999599999,90541,90700,90350,90629,778.98908
1768003199999,90630,90732,90602,90650,261.62531
1768006799999,90651,90693,90520,90585,254.77407
1768010399999,90586,90733,90581,90682,357.22549
1768013999999,90683,90790,90597,90692,270.69908
1768017599999,90692,90695,90545,90631,157.21047
1768021199999,90631,90641,90400,90442,335.49628
1768024799999,90443,90612,90422,90592,80.02811
1768028399999,90592,90597,90468,90498,69.27589
1768031999999,90499,90684,90498,90657,339.80387
1768035599999,90657,90729,90603,90646,61.70909
1768039199999,90646,90755,90615,90754,63.96641
1768042799999,90755,90800,90707,90800,171.26326
1768046399999,90800,90800,90686,90715,71.03661
1768049999999,90715,90779,90663,90730,218.15915
1768053599999,90731,90752,90628,90648,74.75679
1768057199999,90648,90657,90517,90585,373.089
1768060799999,90585,90654,90566,90646,87.26083
1768064399999,90646,90710,90595,90651,93.83182
1768067999999,90651,90737,90514,90515,471.43577
1768071599999,90516,90567,90496,90566,151.40208
1768075199999,90567,90603,90562,90603,41.03701
1768078799999,90603,90630,90537,90544,42.57063
1768082399999,90545,90554,90466,90473,201.11123
1768085999999,90472,90568,90349,90391,589.82461
1768089599999,90391,90536,90390,90485,124.04609
1768093199999,90485,90631,90420,90625,496.93139
1768096799999,90625,90654,90546,90622,48.1529
1768100399999,90623,90712,90600,90676,89.42838
1768103999999,90677,90715,90625,90712,40.17633
1768107599999,90715,90785,90650,90784,122.67841
1768111199999,90784,90845,90730,90761,62.22361
1768114799999,90762,90789,90523,90709,771.01243
1768118399999,90710,90717,90644,90676,142.31042
1768121999999,90676,90777,90573,90777,283.2449
1768125599999,90763,90779,90636,90695,115.70895
1768129199999,90695,90711,90640,90708,308.20137
1768132799999,90708,90713,90663,90703,42.0353
1768136399999,90704,90975,90685,90908,419.81658
1768139999999,90908,90952,90787,90833,278.85398
1768143599999,90834,91157,90833,91095,446.11474
1768147199999,91096,91126,90639,90837,1748.75537
1768150799999,90837,91250,90837,90996,397.47286
1768154399999,90995,91105,90877,90953,793.48515
1768157999999,90952,90954,90735,90851,577.286
1768161599999,90850,90890,90623,90661,503.59846
1768165199999,90661,90700,90388,90679,1271.57743
1768168799999,90679,90816,90563,90732,896.33274
1768172399999,90732,90739,90424,90509,1654.58092
1768175999999,90508,91050,90207,90997,1680.70717
1768179599999,90998,91247,90674,91246,1588.17224
1768183199999,91247,91796,91074,91400,1384.00687
1768186799999,91402,92424,91360,92197,1593.1435
