T,o,h,l,c,v
1767380399999,3121.3,3130.7,3094.7,3108.7,23985.8169
1767383999999,3108.7,3126.3,3106,3121.9,23572.6142
1767387599999,3122.1,3128,3109.9,3117.9,15498.9606
1767391199999,3117,3132.6,3114.7,3129.4,9664.0118
1767394799999,3129.4,3144.1,3126.5,3132,7354.0059
1767398399999,3131.7,3134,3119,3123.7,7476.395
1767401999999,3123.7,3135,3120.9,3129.3,3701.206
1767405599999,3129.3,3130.5,3122.2,3129.6,11540.8591
1767409199999,3129.6,3129.7,3118.5,3124.9,9831.8658
1767412799999,3124.9,3125.6,3117.4,3123.9,3755.2087
1767416399999,3123.8,3126.1,3113.8,3114.9,5353.6105
1767419999999,3114.9,3117.4,3103.3,3111,5402.2585
1767423599999,3111,3115.9,3096.9,3096.9,7268.2442
1767427199999,3096.7,3102.7,3074.8,3089.5,73842.0047
1767430799999,3089.4,3105,3083.9,3095,14915.4148
1767434399999,3095,3109.4,3091.3,3100,13302.2
1767437999999,3100,3105.1,3095.9,3096.5,8148.4214
1767441599999,3096.8,3099.1,3091,3097.4,4286.2686
1767445199999,3097.4,3104.7,3092.7,3103.9,7300.5792
1767448799999,3104.1,3107,3100.4,3102.5,6360.9663
1767452399999,3102.5,3114.7,3100.6,3105.1,9386.3424
1767455999999,3105.1,3106.4,3099,3100,16659.0886
1767459599999,3100,3111,3096.8,3106,9771.2681
1767463199999,3106,3109.5,3104.4,3107.4,2395.9308
1767466799999,3107.4,3117,3104.1,3115.4,6840.3968
1767470399999,3115.3,3115.3,3108.7,3111.9,12148.0601
1767473999999,3111.8,3115.9,3106.2,3114.3,5711.5455
1767477599999,3114.3,3129.7,3112,3119.5,11092.6516
1767481199999,3119.5,3124.9,3112.6,3121.7,4732.1368
1767484799999,3121.7,3130,3119.7,3125.9,9026.4044
1767488399999,3125.9,3166,3125.1,3157.1,36954.7473
1767491999999,3157.1,3161.3,3140.2,3148.9,18887.5035
1767495599999,3148.9,3149.7,3136.2,3139.5,9015.5143
1767499199999,3139.5,3150,3138.9,3146.6,10781.0678
1767502799999,3146.6,3154.6,3144,3147.4,9521.6348
1767506399999,3147.4,3150.9,3144.6,3150.3,4659.4893
1767509999999,3150.2,3162.5,3138.6,3138.6,16887.1633
1767513599999,3138.8,3144.7,3133.6,3140,6958.1625
1767517199999,3140,3140.9,3124.9,3137.8,12040.2223
1767520799999,3137.8,3146.9,3133.8,3142.6,6778.3779
1767524399999,3142.6,3147.1,3141.7,3144.6,4629.7563
1767527999999,3144.6,3144.6,3133.8,3137.8,8132.8433
1767531599999,3137.9,3145.3,3131.7,3135.2,10032.4796
1767535199999,3135.1,3139.9,3130.7,3139.1,15621.4308
1767538799999,3139.2,3141.6,3130.6,3135.8,11478.6087
1767542399999,3135.7,3138,3115.7,3133.5,10507.2548
1767545999999,3133.6,3138.2,3129.4,3137.8,7151.2928
1767549599999,3137.8,3142.5,3134.4,3136.2,2687.2058
